Rk,I,Team,Split,Year,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,ROE,SO,HBP,BK,WP,BF,WHIP,SO/9,SO/BB,AB,H,2B,3B,HR,SB,CS,BA,OBP,SLG,OPS,BB,SO,TB,GDP,HBP,SH,SF,IBB,BAbip,tOPS+,sOPS+
1,,LAD,Home,2020,21,9,0.7,2.82,156,30,30,0,0,3,271,205,98,85,35,74,1,8,274,10,0,13,1087,1.03,9.1,3.7,993,205,29,3,35,18,4,0.206,0.267,0.347,0.614,74,274,345,19,10,4,6,1,0.246,96,71
2,,LAD,Home,2019,59,22,0.728,2.87,338,81,78,3,1,23,741,595,271,236,103,167,8,28,793,26,4,11,2961,1.028,9.63,4.75,2736,595,114,4,103,31,10,0.217,0.268,0.375,0.643,167,793,1026,56,26,16,15,8,0.265,94,72
3,,LAD,Home,2018,45,37,0.549,3.16,364,82,82,0,0,23,752,654,297,264,95,193,16,30,795,33,6,27,3093,1.126,9.51,4.12,2836,654,131,5,95,38,14,0.231,0.286,0.381,0.667,193,795,1080,43,33,18,11,16,0.286,99,85
4,,LAD,Home,2017,57,24,0.704,3.01,337,81,80,1,0,26,741,592,267,248,88,213,17,31,787,19,3,22,2989,1.086,9.56,3.69,2723,592,111,7,88,27,15,0.217,0.278,0.36,0.638,213,787,981,52,19,22,12,17,0.271,91,74
5,,LAD,Home,2016,53,28,0.654,2.97,375,81,78,3,3,27,737,593,261,243,68,216,28,17,782,24,5,27,2976,1.098,9.55,3.62,2708,593,110,9,68,45,18,0.219,0.282,0.342,0.623,216,782,925,41,24,17,11,28,0.281,86,73
6,,LAD,Home,2015,55,26,0.679,3.02,342,81,79,2,1,29,747,640,264,251,69,171,14,19,730,24,2,29,3005,1.086,8.8,4.27,2778,640,113,5,69,36,20,0.23,0.28,0.349,0.629,171,730,970,49,24,18,14,14,0.287,88,79
7,,LAD,Home,2014,45,36,0.556,3.19,330,81,77,4,1,23,755,656,307,268,81,200,21,42,711,17,1,26,3084,1.134,8.48,3.56,2826,656,139,2,81,37,24,0.232,0.285,0.369,0.654,200,711,1042,57,17,22,17,21,0.28,93,90
8,,LAD,Home,2013,47,34,0.58,3.06,338,81,78,3,3,22,741,677,288,252,65,217,22,34,669,19,1,27,3055,1.206,8.13,3.08,2780,677,121,6,65,33,21,0.244,0.302,0.362,0.663,217,669,1005,79,19,27,11,22,0.298,98,89
9,,LAD,Home,2012,45,36,0.556,2.85,338,81,80,1,1,17,743,617,268,235,67,257,37,32,673,25,1,22,3054,1.176,8.15,2.62,2715,617,116,10,67,42,23,0.227,0.298,0.351,0.65,257,673,954,61,25,40,16,37,0.276,93,84
10,,LAD,Home,2011,42,39,0.519,3.57,312,81,76,5,2,17,736,648,311,292,67,260,21,28,652,23,4,26,3059,1.234,7.97,2.51,2720,648,132,3,67,54,21,0.238,0.308,0.363,0.671,260,652,987,62,23,37,19,21,0.288,97,91
11,,LAD,Home,2010,45,36,0.556,3.81,309,81,78,3,3,20,749,651,336,317,67,270,37,24,665,28,4,29,3138,1.23,7.99,2.46,2778,651,118,7,67,49,19,0.234,0.306,0.354,0.661,270,665,984,52,28,40,22,37,0.282,91,87
12,,LAD,Home,2009,50,31,0.617,3.1,353,81,80,1,1,21,754,639,277,260,57,261,33,17,660,30,1,37,3119,1.194,7.88,2.53,2785,639,128,8,57,54,16,0.229,0.301,0.343,0.643,261,660,954,55,30,28,15,33,0.279,92,77
13,,LAD,Home,2008,48,33,0.593,3.01,308,81,77,4,4,18,745,627,265,249,49,215,18,25,666,22,3,20,3036,1.13,8.05,3.1,2749,627,126,8,49,42,9,0.228,0.287,0.333,0.621,215,666,916,63,22,29,21,18,0.281,80,71
