Rk,I,Team,Split,Year,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,ROE,SO,HBP,BK,WP,BF,WHIP,SO/9,SO/BB,AB,H,2B,3B,HR,SB,CS,BA,OBP,SLG,OPS,BB,SO,TB,GDP,HBP,SH,SF,IBB,BAbip,tOPS+,sOPS+
1,,COL,Away,2020,14,16,0.467,4.6,119,30,30,0,0,8,254.1,246,140,130,40,117,4,7,188,21,1,13,1117,1.427,6.65,1.61,964,246,50,6,40,17,3,0.255,0.345,0.444,0.789,117,188,428,28,21,4,11,4,0.276,91,107
2,,COL,Away,2019,28,53,0.346,4.92,354,81,80,1,1,11,703.2,691,414,385,126,295,18,26,615,27,2,33,3058,1.401,7.87,2.08,2703,691,135,16,126,45,14,0.256,0.333,0.457,0.79,295,615,1236,63,27,15,18,18,0.285,89,106
3,,COL,Away,2018,44,38,0.537,4.03,322,82,82,0,0,31,719.1,628,341,322,83,258,9,18,684,25,3,34,2989,1.232,8.56,2.65,2673,628,109,21,83,46,14,0.235,0.306,0.385,0.69,258,684,1028,59,25,8,23,9,0.283,88,88
4,,COL,Away,2017,41,40,0.506,4.09,359,81,80,1,1,28,708.2,683,342,322,92,263,10,17,649,28,7,38,3028,1.335,8.24,2.47,2682,683,131,19,92,36,15,0.255,0.324,0.421,0.745,263,649,1128,55,28,23,30,10,0.3,94,94
5,,COL,Away,2016,33,48,0.407,4.4,341,81,81,0,0,18,693.1,692,383,339,82,290,16,27,587,30,3,38,3026,1.416,7.62,2.02,2671,692,133,26,82,45,15,0.259,0.336,0.42,0.757,290,587,1123,60,30,16,17,16,0.302,92,102
6,,COL,Away,2015,32,49,0.395,4.37,355,81,80,1,0,22,696,701,361,338,83,292,21,28,552,25,4,22,3034,1.427,7.14,1.89,2671,701,162,16,83,40,17,0.262,0.339,0.428,0.767,292,552,1144,71,25,26,19,21,0.301,89,108
7,,COL,Away,2014,21,60,0.259,4.65,338,81,81,0,0,16,691,703,374,357,83,265,14,20,549,30,6,37,2997,1.401,7.15,2.07,2637,703,147,21,83,41,12,0.267,0.337,0.433,0.77,265,549,1141,65,30,35,29,14,0.305,96,115
8,,COL,Away,2013,29,52,0.358,4.44,321,81,80,1,0,19,689,732,373,340,65,276,32,23,529,18,6,30,3025,1.463,6.91,1.92,2679,732,171,19,65,39,15,0.273,0.342,0.424,0.766,276,529,1136,62,18,27,25,32,0.316,101,111
9,,COL,Away,2012,29,52,0.358,4.41,361,81,81,0,0,22,688,728,367,337,80,297,38,29,570,17,3,47,3048,1.49,7.46,1.92,2667,728,150,20,80,62,19,0.273,0.347,0.434,0.782,297,570,1158,43,17,49,18,38,0.318,90,111
10,,COL,Away,2011,35,46,0.432,4.15,328,81,77,4,1,26,705.2,654,347,325,75,281,25,21,574,26,4,36,2999,1.325,7.32,2.04,2646,654,126,27,75,53,29,0.247,0.323,0.4,0.724,281,574,1059,52,26,27,19,25,0.287,90,97
11,,COL,Away,2010,31,50,0.383,4.02,325,81,77,4,2,15,699,662,338,312,60,293,28,37,600,26,7,39,2997,1.366,7.73,2.05,2633,662,128,15,60,49,21,0.251,0.33,0.38,0.71,293,600,1000,71,26,25,20,28,0.302,97,90
12,,COL,Away,2009,41,40,0.506,4.06,303,81,77,4,2,25,701.1,673,336,316,67,252,24,21,562,26,3,20,2986,1.319,7.21,2.23,2631,673,118,17,67,50,14,0.256,0.323,0.39,0.713,252,562,1026,53,26,41,36,24,0.297,95,86
13,,COL,Away,2008,31,50,0.383,4.7,318,81,81,0,0,17,701,733,402,366,66,309,25,35,518,23,6,34,3095,1.486,6.65,1.68,2702,733,172,24,66,48,16,0.271,0.348,0.426,0.774,309,518,1151,71,23,39,22,25,0.312,100,102
14,,COL,Away,2007,39,42,0.481,4.29,331,81,78,3,1,21,718,701,362,342,82,273,30,18,495,37,5,16,3075,1.357,6.2,1.81,2710,701,120,18,82,54,12,0.259,0.332,0.407,0.739,273,495,1103,71,37,32,23,30,0.287,97,92
15,,COL,Away,2006,32,49,0.395,4.59,323,81,79,2,2,18,701.1,731,399,358,62,273,53,27,461,41,1,28,3066,1.432,5.92,1.69,2699,731,164,28,62,49,26,0.271,0.344,0.421,0.765,273,461,1137,68,41,23,28,53,0.304,96,96
16,,COL,Away,2005,27,54,0.333,5.08,298,81,80,1,0,19,683.2,740,415,386,91,311,24,32,476,38,4,34,3069,1.537,6.27,1.53,2657,740,173,13,91,62,18,0.279,0.359,0.456,0.815,311,476,1212,58,38,38,25,24,0.307,99,113
17,,COL,Away,2004,30,51,0.37,4.77,302,81,80,1,0,18,702.1,728,391,372,88,323,42,20,459,40,3,35,3109,1.496,5.88,1.42,2682,728,148,17,88,50,12,0.271,0.355,0.438,0.793,323,459,1174,71,40,39,25,42,0.296,88,105
18,,COL,Away,2003,25,56,0.309,5.38,316,81,79,2,0,14,683,782,442,408,83,305,29,37,394,35,3,26,3096,1.592,5.19,1.29,2696,782,162,16,83,36,27,0.29,0.366,0.454,0.82,305,394,1225,64,35,28,32,29,0.311,99,113
19,,COL,Away,2002,26,55,0.321,4.94,321,81,80,1,0,20,692.2,731,407,380,90,301,27,32,427,31,3,20,3088,1.49,5.55,1.42,2706,731,139,16,90,49,6,0.27,0.347,0.433,0.78,301,427,1172,58,31,27,23,27,0.29,92,105
20,,COL,Away,2001,32,49,0.395,4.42,293,81,77,4,2,14,696,688,375,342,95,266,32,28,521,36,1,18,3007,1.371,6.74,1.96,2656,688,170,17,95,42,21,0.259,0.332,0.443,0.776,266,521,1177,56,36,29,20,32,0.288,87,101
21,,COL,Away,2000,34,47,0.42,4.45,292,81,77,4,1,20,691,672,366,342,88,285,31,31,479,39,3,22,2986,1.385,6.24,1.68,2618,672,145,16,88,61,19,0.257,0.336,0.425,0.761,285,479,1113,64,39,23,21,31,0.282,85,91
22,,COL,Away,1999,33,48,0.407,4.84,262,81,73,8,0,20,690,713,402,371,78,352,22,29,506,28,1,39,3080,1.543,6.6,1.44,2643,713,145,15,78,95,29,0.27,0.358,0.425,0.783,352,506,1122,68,28,28,26,22,0.305,78,100
23,,COL,Away,1998,35,46,0.432,4.25,252,81,76,5,2,20,691.2,698,350,327,73,289,8,20,484,33,5,23,2978,1.427,6.3,1.67,2614,698,142,17,73,66,23,0.267,0.345,0.418,0.764,289,484,1093,82,33,23,17,8,0.301,91,98
24,,COL,Away,1997,36,45,0.444,4.81,284,81,76,5,2,19,694.2,765,407,371,75,303,14,33,419,31,3,23,3076,1.537,5.43,1.38,2685,765,161,19,75,74,28,0.285,0.361,0.443,0.804,303,419,1189,84,31,31,24,14,0.312,91,108
25,,COL,Away,1996,28,53,0.346,4.97,296,81,81,0,0,18,684.2,694,405,378,76,310,11,38,475,33,4,33,3022,1.466,6.24,1.53,2630,694,139,23,76,74,33,0.264,0.346,0.421,0.767,310,475,1107,52,33,27,21,11,0.294,86,96
26,,COL,Away,1995,33,39,0.458,3.71,278,72,71,1,0,21,630.1,600,293,260,53,260,13,24,433,19,5,29,2696,1.364,6.18,1.67,2363,600,112,8,53,61,19,0.254,0.33,0.375,0.706,260,433,887,57,19,35,19,13,0.289,76,84
1,,COL,Away,1994,28,32,0.467,4.57,209,60,59,1,0,19,518,557,282,263,59,228,22,19,352,25,5,21,2298,1.515,6.12,1.54,2003,557,119,14,59,53,22,0.278,0.357,0.44,0.796,228,352,881,41,25,26,16,22,0.31,93,106
2,,COL,Away,1993,28,53,0.346,4.99,293,81,76,5,0,19,698.1,757,416,387,74,289,30,31,430,13,8,31,3088,1.498,5.54,1.49,2712,757,138,17,74,59,28,0.279,0.347,0.424,0.771,289,430,1151,49,13,36,38,30,0.304,88,105
