Rk,elevation,Team,Key,Year,SO,W,L,WL,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,ROE,HBP,BK,WP,BF,WHIP,SOnine,SOBB,AB,H,twB,thB,HR,SB,CS,BA,OBP,SLG,OPS,BB,TB,GDP,HBP,SH,SF,IBB,BAbip,tOPS,sOPS
457,5183,ANA,ANA1997,1997,10,1,1,0.5,5.82,6,2,2,0,0,1,17,22,12,11,2,7,1,2,0,1,0,78,1.706,5.29,1.43,70,22,5,0,2,1,1,0.314,0.377,0.471,0.848,7,33,1,0,1,0,1,0.345,118,90
462,5183,ANA,ANA1999,1999,9,2,1,0.667,5.88,12,3,3,0,0,1,26,29,17,17,1,12,0,1,1,0,1,116,1.577,3.12,0.75,103,29,8,0,1,2,1,0.282,0.362,0.388,0.75,12,40,4,1,0,0,0,0.301,96,61
329,5183,ANA,ANA2001,2001,19,3,0,1,3.33,9,3,3,0,0,2,27,21,11,10,3,10,0,1,1,0,1,109,1.148,6.33,1.9,96,21,4,1,3,1,2,0.219,0.299,0.375,0.674,10,36,2,1,2,0,0,0.243,81,50
190,5183,ARI,ARI1998,1998,27,3,3,0.5,5.82,22,6,6,0,0,2,51,54,35,33,12,22,2,2,0,1,1,226,1.49,4.76,1.23,196,54,8,0,12,3,3,0.276,0.347,0.5,0.847,22,98,4,0,7,1,2,0.266,123,94
134,5183,ARI,ARI1999,1999,37,3,4,0.429,6.1,24,7,6,1,0,1,62,76,47,42,12,22,1,6,3,0,3,278,1.581,5.37,1.68,250,76,12,4,12,7,2,0.304,0.366,0.528,0.894,22,132,9,3,2,1,1,0.317,146,88
128,5183,ARI,ARI2000,2000,39,2,4,0.333,9.36,24,6,5,1,0,1,50,81,53,52,14,22,1,4,0,0,2,251,2.06,7.02,1.77,222,81,18,2,14,4,0,0.365,0.417,0.653,1.07,22,145,3,0,4,3,1,0.39,182,132
30,5183,ARI,ARI2001,2001,86,5,5,0.5,6.26,37,10,10,0,0,1,87.2,115,64,61,15,22,1,3,3,0,6,390,1.563,8.83,3.91,355,115,20,1,15,9,6,0.324,0.364,0.513,0.876,22,182,4,3,5,5,1,0.386,144,93
68,5183,ARI,ARI2002,2002,59,5,4,0.556,6.23,38,9,9,0,0,1,78,116,59,54,5,19,2,2,4,1,4,362,1.731,6.81,3.11,336,116,18,2,5,6,4,0.345,0.385,0.455,0.84,19,153,8,4,1,2,2,0.405,141,98
47,5183,ARI,ARI2003,2003,71,4,6,0.4,5.6,46,10,10,0,0,2,88.1,100,68,55,18,46,7,6,7,0,4,416,1.653,7.23,1.54,357,100,20,2,18,5,1,0.28,0.372,0.499,0.871,46,178,7,7,5,1,7,0.305,144,104
89,5183,ARI,ARI2004,2004,54,1,8,0.111,6.81,31,9,9,0,0,1,74,99,66,56,10,42,5,6,4,0,9,360,1.905,6.57,1.29,308,99,21,2,10,4,3,0.321,0.408,0.5,0.908,42,154,8,4,5,1,5,0.363,131,106
73,5183,ARI,ARI2005,2005,58,6,3,0.667,5.42,37,9,9,0,0,3,78,95,53,47,9,35,4,6,3,0,2,365,1.667,6.69,1.66,321,95,18,2,9,5,1,0.296,0.37,0.449,0.819,35,144,4,3,6,0,4,0.339,106,99
29,5183,ARI,ARI2006,2006,87,7,3,0.7,3.36,47,10,10,0,0,4,99,90,43,37,3,33,5,7,5,0,3,419,1.242,7.91,2.64,369,90,24,7,3,2,5,0.244,0.314,0.371,0.685,33,137,6,5,11,1,5,0.311,80,69
48,5183,ARI,ARI2007,2007,71,4,5,0.444,4.35,40,9,9,0,0,4,78.2,85,44,38,5,37,2,5,0,0,0,347,1.551,8.12,1.92,305,85,22,1,5,3,3,0.279,0.357,0.407,0.763,37,124,10,0,5,0,2,0.349,104,90
